Peak,Compound,mean_RT,Fly_026,Fly_032,Fly_025,Fly_021,Fly_023,Fly_031,Fly_035,Fly_036,Fly_024,Fly_034
P78,,21.1119,21.119,21.118,21.112,21.112,21.112,21.112,21.112,21.119,21.105,21.098
P79,,21.2336666666667,,21.215,,,21.236,,21.25,,,
P80,,21.284,,21.284,,,,,,,,
P81,,21.346,,21.346,,,,,,,,
P82,,21.4638571428571,21.457,21.463,21.464,21.464,21.471,21.464,,,,21.464
P83,C17_ane_NA,21.6143,21.615,21.615,21.615,21.615,21.615,21.615,21.615,21.615,21.608,21.615
P84,,21.739,,21.739,,,,,,,,
P85,,21.8248,21.822,21.822,21.829,21.822,,,,,,21.829
P86,,21.9324,21.939,21.891,21.932,21.933,21.94,21.946,21.939,21.939,21.932,21.933
P87,,22.008,,,22.008,,,,,,,
P88,,22.1379,22.126,22.146,22.132,22.133,22.133,22.139,22.146,22.146,22.139,22.139
P89,,22.263,,22.263,,,,,,,,
P90,,22.401,,22.401,,,,,,,,
P91,,22.491,,22.491,,,,,,,,
P92,,22.663,,22.649,22.67,22.67,,,,,,
P93,,22.80625,22.815,22.801,22.801,22.808,,,,,,
P94,,23.035,23.043,23.029,23.043,23.05,23.07,,,22.981,,23.029
P95,,23.1792,,23.173,,,,23.188,23.201,23.167,,23.167
P96,,23.296,,23.304,23.284,23.298,,23.298,,,,
P97,,23.5565,23.56,23.518,,23.574,,23.574,,,,
P98,,23.7174,23.725,23.704,23.718,23.718,23.725,23.732,23.711,23.718,23.711,23.712
P99,,23.849,,23.849,,,,,,,,
P100,,23.9701666666667,,23.98,,,23.967,23.967,23.973,23.967,,23.967
P101,,24.0518,24.049,24.049,24.049,24.056,24.056,24.049,24.056,24.049,24.049,24.056
P102,,24.173,,24.173,,,,,,,,
P103,,24.263,,24.242,24.27,24.277,,,,,,
P104,,24.304,,24.304,,,,,,,,
P105,,24.4321,24.429,24.435,24.435,24.422,24.429,24.436,24.435,24.435,24.429,24.436
P106,,24.552,,24.552,,,,,,,,
P107,,24.6334285714286,24.629,24.642,24.622,24.629,,24.642,,24.635,24.635,
P108,,24.739,,24.739,,,,,,,,
P109,,24.825,,24.835,,,24.815,,,,,
P110,C19_diene_NA,25.053375,25.049,,25.049,25.049,25.056,25.056,25.056,25.063,25.049,
P111,,25.1807,25.18,25.166,25.187,25.18,25.18,25.187,25.18,25.187,25.18,25.18
P112,,25.256,,,,25.256,,,,,,
P113,,25.3308333333333,25.325,25.332,,25.332,25.339,,25.332,,,25.325
P114,,25.5606666666667,25.566,25.469,25.58,25.58,25.573,25.58,25.573,25.559,,25.566
P115,C19_ane_NA,25.7026,25.704,25.704,25.704,25.704,25.704,25.704,25.704,25.697,25.697,25.704
P116,,25.85575,25.849,25.869,,25.849,,25.856,,,,
