"","Ib_FALSE.mean_RT","Ib_FALSE.Fly_021","Ib_FALSE.Fly_023","Ib_FALSE.Fly_024","Ib_FALSE.Fly_025","Ib_FALSE.Fly_026","Ib_FALSE.Fly_031","Ib_FALSE.Fly_032","Ib_FALSE.Fly_034","Ib_FALSE.Fly_035","Ib_FALSE.Fly_036"
"P93",22.003,0,0,0,22.008,0,0,0,0,0,0
"P94",22.1379,22.133,22.133,22.139,22.132,22.126,22.139,22.146,22.139,22.146,22.146
"P95",22.258,0,0,0,0,0,0,22.263,0,0,0
"P96",22.396,0,0,0,0,0,0,22.401,0,0,0
"P97",22.486,0,0,0,0,0,0,22.491,0,0,0
"P98",22.658,22.67,0,0,22.67,0,0,22.649,0,0,0
"P99",22.80125,22.808,0,0,22.801,22.815,0,22.801,0,0,0
"P100",23.0328571428571,23.05,23.07,0,23.043,23.043,0,23.029,23.029,0,22.981
"P101",23.1822,0,0,0,0,0,23.188,23.173,23.167,23.201,23.167
"P102",23.2935,23.298,0,0,23.284,0,23.298,23.304,0,0,0
"P103",23.554,23.574,0,0,0,23.56,23.574,23.518,0,0,0
"P104",23.7174,23.718,23.725,23.711,23.718,23.725,23.732,23.704,23.712,23.711,23.718
"P105",23.844,0,0,0,0,0,0,23.849,0,0,0
"P106",23.9718333333333,0,23.967,0,0,0,23.967,23.98,23.967,23.973,23.967
"P107",24.0518,24.056,24.056,24.049,24.049,24.049,24.049,24.049,24.056,24.056,24.049
"P108",24.168,0,0,0,0,0,0,24.173,0,0,0
"P109",24.258,24.277,0,0,24.27,0,0,24.242,0,0,0
"P110",24.299,0,0,0,0,0,0,24.304,0,0,0
"P111",24.4321,24.422,24.429,24.429,24.435,24.429,24.436,24.435,24.436,24.435,24.435
"P112",24.547,0,0,0,0,0,0,24.552,0,0,0
"P113",24.6327142857143,24.629,0,24.635,24.622,24.629,24.642,24.642,0,0,24.635
"P114",24.734,0,0,0,0,0,0,24.739,0,0,0
"P115",24.82,0,24.815,0,0,0,0,24.835,0,0,0
"P116",25.053375,25.049,25.056,25.049,25.049,25.049,25.056,0,0,25.056,25.063
"P117",25.1807,25.18,25.18,25.18,25.187,25.18,25.187,25.166,25.18,25.18,25.187
"P118",25.251,25.256,0,0,0,0,0,0,0,0,0
"P119",25.3291666666667,25.332,25.339,0,0,25.325,0,25.332,25.325,25.332,0
"P120",25.464,0,0,0,0,0,0,25.469,0,0,0
"P121",25.572125,25.58,25.573,0,25.58,25.566,25.58,0,25.566,25.573,25.559
"P122",25.7026,25.704,25.704,25.697,25.704,25.704,25.704,25.704,25.704,25.704,25.697
"P123",25.85325,25.849,0,0,0,25.849,25.856,25.869,0,0,0
"P124",26.0977,26.09,26.097,26.097,26.097,26.097,26.104,26.104,26.097,26.097,26.097
"P125",26.264,0,0,0,0,0,0,26.269,0,0,0
"P126",26.568,0,0,0,0,0,0,26.573,0,0,0
"P127",26.685,0,0,0,0,0,0,26.69,0,0,0
"P128",26.9363333333333,26.939,26.939,26.925,26.938,26.939,26.946,0,26.939,26.932,26.925
"P129",27.088,27.104,27.09,27.09,27.104,27.09,27.097,27.042,0,27.097,27.083
"P130",27.189,27.194,0,0,0,0,0,0,0,0,0
"P131",27.285,0,0,0,0,0,0,27.29,0,0,0
"P132",27.354,0,0,0,0,0,0,27.359,0,0,0
"P133",27.4813333333333,27.49,0,27.428,27.497,27.476,27.49,27.538,27.49,27.435,27.483
"P134",27.6031,27.601,27.608,27.6,27.6,27.607,27.607,27.6,27.601,27.607,27.6
"P135",27.795,0,0,0,0,0,0,27.8,0,0,0
"P136",27.871,0,0,0,0,0,0,27.876,0,0,0
"P137",27.9971,27.994,28.001,27.987,27.994,28,27.994,28,28.001,28,28
"P138",28.071,0,0,0,0,0,0,28.076,0,0,0
"P139",28.374,0,0,0,0,0,0,28.379,0,0,0
"P140",28.5273333333333,0,28.525,28.524,0,0,0,28.538,0,0,0
"P141",28.691,28.69,28.697,0,28.69,0,28.697,0,0,0,0
"P142",28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828
"P143",28.9401,28.938,28.945,28.938,28.938,28.938,28.938,28.952,28.938,28.938,28.938
"P144",29.0378,29.042,29.042,29.042,29.042,29.042,29.042,29,29.042,29.042,29.042
"P145",29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152,29.152
"P146",29.209,0,0,0,0,0,0,29.214,0,0,0
"P147",29.3203333333333,29.324,29.331,29.324,29.317,29.317,0,29.303,29.324,29.324,29.324
"P148",29.4443,29.442,29.449,29.455,29.448,29.455,29.435,29.448,29.435,29.441,29.435
"P149",29.542375,29.545,29.552,29.545,0,29.552,29.538,29.517,29.545,29.545,0
"P150",29.686,0,29.69,29.69,0,0,0,29.683,0,0,0
