"","Ca_TRUE.mean_RT","Ca_TRUE.Fly_003","Ca_TRUE.Fly_007","Ca_TRUE.Fly_008","Ca_TRUE.Fly_009","Ca_TRUE.Fly_010","Ca_TRUE.Fly_011","Ca_TRUE.Fly_012","Ca_TRUE.Fly_013","Ca_TRUE.Fly_014","Ca_TRUE.Fly_015"
"P46",16.34025,0,0,16.347,16.34,16.34,0,0,0,0,16.354
"P47",16.5973333333333,0,16.554,16.63,0,16.623,0,0,0,0,0
"P48",16.797,0,0,0,0,16.802,0,0,0,0,0
"P49",17.1133333333333,17.113,17.119,17.119,0,17.12,17.12,17.113,17.106,17.106,17.119
"P50",17.2462,17.251,17.257,17.25,17.244,17.237,17.251,17.25,17.251,17.251,17.25
"P51",17.39,0,17.395,0,0,0,0,0,0,0,0
"P52",17.773,0,0,0,17.788,0,0,0,0,0,0
"P53",18.197,0,0,0,0,18.202,0,0,0,0,0
"P54",18.583,0,0,0,0,18.588,0,0,0,0,0
"P55",18.6625,18.637,18.678,18.664,18.671,18.657,18.671,18.678,18.671,18.671,18.657
"P56",18.773,0,0,0,18.788,0,0,0,0,0,0
"P57",18.9455,0,0,18.954,0,18.947,0,0,0,0,0
"P58",19.183,0,0,19.188,0,0,0,0,0,0,0
"P59",19.408,19.402,19.416,19.422,0,0,19.402,0,19.409,19.402,19.408
"P60",19.7111,19.719,19.719,19.719,19.712,19.712,19.705,19.719,19.712,19.705,19.719
"P61",20.107,0,0,0,0,0,0,20.112,0,0,0
"P62",20.3848,0,0,20.381,20.381,20.395,20.388,0,0,0,20.394
"P63",20.549,20.554,0,0,0,0,0,0,0,0,0
"P64",20.611,20.616,0,0,0,0,0,0,0,0,0
"P65",20.911,0,0,0,20.926,0,0,0,0,0,0
"P66",21.0948888888889,21.105,21.119,21.112,0,21.119,21.078,21.084,21.077,21.091,21.084
"P67",21.6066,21.609,21.608,21.615,21.608,21.615,21.608,21.602,21.615,21.608,21.608
"P68",21.878,0,0,21.877,0,21.877,21.877,0,0,21.877,21.877
"P69",21.9342,21.933,0,0,0,21.939,0,0,21.939,21.926,21.939
"P70",22.1319,22.139,22.146,22.132,22.132,22.133,22.132,22.132,22.139,22.132,22.132
"P71",22.5783333333333,0,0,0,22.581,22.588,0,0,0,22.581,0
"P72",22.974375,22.974,22.974,22.987,22.981,22.974,22.981,22.974,0,0,22.98
"P73",23.051,0,0,23.056,0,0,0,0,0,0,0
"P74",23.195,0,0,0,23.222,23.188,0,0,0,0,0
"P75",23.317,0,23.284,0,23.346,23.346,0,0,0,0,0
"P76",23.465,0,0,23.47,0,0,0,0,0,0,0
"P77",23.7241,23.725,23.711,23.732,23.732,23.732,23.732,23.711,23.732,23.732,23.732
"P78",23.844,0,23.849,0,0,0,0,0,0,0,0
"P79",23.962,23.967,0,0,0,0,0,0,0,0,0
"P80",24.0483,24.05,24.056,24.056,24.056,24.049,24.043,24.049,24.056,24.049,24.049
"P81",24.262,0,0,0,24.277,0,0,0,0,0,0
"P82",24.4214444444444,24.436,0,24.435,24.415,24.36,24.429,24.436,24.436,24.436,24.435
"P83",24.5045,24.512,24.511,24.504,0,24.511,24.505,24.504,24.498,24.511,0
"P84",24.6264285714286,24.629,24.635,24.628,24.635,24.636,24.622,24.635,0,0,0
"P85",24.7325,0,0,0,24.739,24.746,0,0,0,0,0
"P86",24.8565,0,0,0,24.863,24.87,0,0,0,0,0
"P87",25.0318,24.994,0,25.049,25.091,25.056,24.994,0,0,0,0
"P88",25.1822222222222,25.187,25.18,25.187,0,25.187,25.18,25.18,25.187,25.18,25.187
"P89",25.3315555555556,25.339,25.332,25.339,25.332,25.332,25.339,25.325,0,25.339,25.332
"P90",25.582,0,0,0,0,25.587,0,0,0,0,0
"P91",25.7141666666667,25.698,25.704,0,0,0,0,25.697,25.725,25.746,25.725
"P92",25.7613333333333,0,25.752,25.759,25.828,25.76,25.746,25.753,0,0,0
"P93",26.017,0,0,0,0,26.022,0,0,0,0,0
"P94",26.0975,26.097,26.097,26.104,26.104,26.104,26.104,26.097,26.097,26.097,26.104
"P95",26.237,0,0,0,0,26.242,0,0,0,0,0
"P96",26.5326666666667,26.566,0,0,26.539,26.518,0,0,0,0,0
"P97",26.703,0,0,0,26.718,0,0,0,0,0,0
"P98",26.9755,27.008,26.952,26.98,27.056,27.001,26.973,26.952,26.945,26.952,26.966
"P99",27.2795555555556,0,27.276,27.29,27.29,27.277,27.283,27.283,27.276,27.283,27.283
"P100",27.4315,0,27.497,0,27.421,0,0,27.414,27.421,27.428,27.428
"P101",27.6021,27.608,27.6,27.607,27.614,27.607,27.607,27.6,27.607,27.601,27.6
"P102",27.6858571428571,0,0,27.69,27.697,27.69,27.69,0,27.683,27.683,27.683
"P103",27.992,27.994,27.993,28,28,27.994,27.994,27.994,27.994,27.994,27.993
"P104",28.1117142857143,0,0,28.118,28.111,28.118,28.111,0,28.111,28.111,28.117
"P105",28.4228571428571,0,0,28.421,28.435,28.428,28.421,0,28.421,28.421,28.428
"P106",28.6948888888889,28.697,28.697,28.69,28.752,28.69,28.683,28.697,0,28.69,28.683
"P107",28.816,28.821,0,0,0,0,0,0,0,0,0
"P108",28.9336,28.931,28.938,28.938,28.938,28.931,28.945,28.938,28.931,28.931,28.945
"P109",29.0416,29.035,0,0,0,29.042,0,29.055,29.049,29.042,0
"P110",29.1629,29.152,29.173,29.166,29.207,29.173,29.166,29.152,29.152,29.159,29.159
"P111",29.4603333333333,29.435,0,29.476,29.504,29.469,29.449,29.49,29.442,29.448,29.455
"P112",29.559,0,29.517,29.572,29.6,29.58,29.545,29.566,29.552,29.566,29.558
"P113",29.691,29.683,29.703,29.697,29.71,29.697,29.683,29.697,29.69,29.69,29.69
"P114",29.8523,29.849,29.903,29.848,29.855,29.848,29.842,29.897,29.842,29.835,29.834
"P115",29.971,0,0,0,0,0,0,0,0,29.966,0
"P116",30.1295,0,30.145,0,0,0,0,30.124,0,0,0
"P117",30.2604444444444,30.304,30.221,30.31,0,30.324,30.276,30.214,30.214,30.241,30.255
"P118",30.431,0,0,0,30.434,30.448,0,0,0,0,0
"P119",30.616,30.628,30.6,0,0,30.635,0,0,0,0,0
"P120",30.6778333333333,0,30.696,30.676,30.676,0,30.662,30.697,30.69,0,0
"P121",30.7868571428571,0,0,30.786,30.8,30.793,30.786,0,30.786,30.786,30.786
"P122",30.939875,0,30.938,30.945,30.959,30.945,30.945,0,30.931,30.938,30.938
"P123",31.0665,0,31.076,31.069,0,31.069,31.062,0,0,0,0
"P124",31.1725,31.172,31.179,31.179,31.186,31.172,31.172,31.179,31.172,31.172,31.172
"P125",31.374,0,0,0,0,0,0,31.379,0,0,0
"P126",31.464,0,0,0,0,31.469,0,0,0,0,0
"P127",31.5415714285714,0,0,31.545,31.558,31.545,31.538,0,31.545,31.538,31.537
"P128",31.5978,31.6,31.607,0,0,31.607,0,31.6,31.6,0,0
"P129",31.7248571428571,0,0,31.731,31.731,31.731,31.724,0,31.731,31.717,31.724
"P130",31.9745714285714,31.972,31.986,31.979,31.993,31.972,0,31.986,31.979,0,0
"P131",32.225,32.227,32.227,32.241,32.241,0,32.227,32.227,32.22,32.22,32.22
"P132",32.309375,32.317,32.317,32.324,32.317,32.296,0,32.317,32.317,0,32.31
"P133",32.4057777777778,32.407,32.427,32.413,32.42,32.414,0,32.4,32.407,32.4,32.399
"P134",32.525,32.517,32.524,32.537,32.551,32.538,32.524,32.517,32.524,32.524,32.524
"P135",32.6595,32.662,32.668,32.668,32.676,32.669,32.655,32.662,32.655,32.655,32.655
"P136",32.756,0,0,0,0,0,32.751,0,0,0,0
"P137",32.902,32.917,0,32.924,32.931,32.903,32.862,32.924,32.924,32.876,32.882
"P138",33.0192,33.027,32.993,33.034,33.034,33.027,33.013,33.034,33.034,33.013,33.013
"P139",33.07,0,33.075,0,0,0,0,0,0,0,0
"P140",33.2794,33.303,33.324,33.275,33.31,33.262,33.262,33.303,33.262,33.262,33.261
"P141",33.4233,33.434,33.448,33.427,33.427,33.413,33.413,33.434,33.427,33.42,33.42
"P142",33.643,0,33.648,0,0,0,0,0,0,0,0
"P143",34.0266666666667,34.034,34.034,0,0,0,0,34.027,0,0,0
"P144",34.1388571428571,0,0,34.144,34.179,34.137,34.137,0,34.13,34.13,34.13
"P145",34.215,0,34.241,0,0,34.199,0,0,0,0,0
"P146",34.298,0,34.303,0,0,0,0,0,0,0,0
"P147",34.4616,34.462,34.475,34.468,34.468,34.468,34.461,34.461,34.461,34.461,34.461
"P148",34.6365,0,34.634,0,0,0,0,34.641,34.634,0,34.647
"P149",34.7668571428571,0,0,34.772,34.786,34.772,34.765,0,34.758,34.765,34.765
"P150",34.9067,34.924,34.923,34.903,34.937,34.917,34.896,34.923,34.889,34.896,34.889
"P151",35.0638571428571,0,0,35.068,35.082,35.068,35.061,0,35.061,35.061,35.061
"P152",35.2206666666667,35.22,35.213,35.247,0,35.248,0,35.213,35.213,0,0
"P153",35.343375,0,35.296,35.351,35.358,35.358,35.351,0,35.351,35.351,35.351
"P154",35.553,0,35.565,0,0,0,0,35.551,0,0,0
"P155",35.624,35.62,35.647,0,0,0,0,35.62,0,0,0
"P156",35.7271,35.73,35.744,35.737,35.813,35.716,35.716,35.73,35.696,35.71,35.709
"P157",35.897,0,35.902,0,0,0,0,0,0,0,0
"P158",36.0835555555556,36.116,0,36.116,36.109,36.116,36.041,36.089,36.096,36.047,36.047
"P159",36.166,0,36.171,0,0,0,0,0,0,0,0
"P160",36.2355,36.241,36.275,36.254,36.254,36.241,36.22,36.227,36.234,36.22,36.219
"P161",36.392,0,0,36.42,0,36.399,36.392,0,36.378,36.385,36.378
"P162",36.4967,36.503,36.516,36.516,36.475,36.509,36.496,36.496,36.502,36.496,36.488
"P163",36.6314285714286,0,0,36.64,36.654,36.634,36.627,0,36.627,36.627,36.626
"P164",36.789,36.785,36.799,36.799,36.82,36.799,36.778,36.785,36.785,36.785,36.785
"P165",36.8914285714286,0,0,36.902,36.902,36.889,36.896,0,36.896,36.889,36.881
"P166",37.001,0,37.013,0,0,0,0,36.999,0,0,0
"P167",37.118,37.123,0,0,0,0,0,0,0,0,0
"P168",37.2552,37.213,37.247,37.275,37.344,37.296,37.261,37.226,37.226,37.247,37.247
"P169",37.5144,37.509,37.509,37.53,37.537,37.53,37.516,37.502,37.516,37.509,37.516
"P170",37.7145,0,37.723,0,0,0,0,37.716,0,0,0
"P171",37.9457777777778,37.992,37.95,37.957,0,37.985,37.944,37.944,37.902,37.93,37.923
"P172",38.07925,38.089,38.095,0,38.075,0,0,38.088,0,0,0
"P173",38.1778888888889,38.178,38.178,38.205,0,38.213,38.185,38.171,38.144,38.171,38.171
"P174",38.2715,0,38.254,0,38.309,0,0,0,0,0,0
"P175",38.4293333333333,0,38.419,38.44,38.481,38.44,38.426,38.419,38.419,38.426,38.419
"P176",38.603,38.599,38.599,38.626,0,38.626,0,38.592,38.606,0,0
"P177",38.6853,38.702,38.702,38.688,38.73,38.688,38.675,38.695,38.668,38.668,38.667
"P178",39.0177,39.033,39.033,39.081,39.054,39.04,38.999,38.978,39.033,39.006,38.95
"P179",39.1929,39.199,39.198,39.219,39.212,39.206,39.185,39.178,39.199,39.185,39.178
"P180",39.4069,39.412,39.412,39.419,39.419,39.412,39.405,39.405,39.412,39.405,39.398
"P181",39.64,39.633,39.654,0,39.626,39.668,0,39.654,0,0,0
"P182",39.7505,0,0,39.757,39.764,0,0,0,0,0,0
"P183",39.844125,39.847,39.84,0,39.867,39.812,39.867,39.833,0,39.84,39.867
"P184",39.938,0,39.943,0,0,0,0,0,0,0,0
"P185",40.0664,40.061,40.081,40.074,40.081,40.074,40.061,40.074,40.067,40.061,40.06
"P186",40.13625,0,0,40.143,40.15,40.143,40.129,0,0,0,0
"P187",40.2588,0,0,40.267,40.267,40.261,40.26,0,0,40.254,0
"P188",40.3295,40.336,40.336,40.336,40.343,40.336,40.329,40.329,40.329,40.329,40.322
"P189",40.4333333333333,0,40.446,0,0,0,0,40.433,0,0,40.426
"P190",40.641,0,40.646,0,0,0,0,0,0,0,0
"P191",40.754,40.757,40.757,40.764,40.764,40.764,40.757,40.757,40.75,40.75,40.75
"P192",40.848,0,0,40.853,0,0,0,0,0,0,0
"P193",40.9937,40.992,40.998,40.998,41.005,40.991,41.012,40.991,40.998,40.991,40.991
"P194",41.0934,41.095,0,41.102,0,41.102,0,0,41.095,41.088,0
"P195",41.1808,41.198,41.177,41.198,41.198,41.185,41.171,41.178,41.178,41.178,41.177
"P196",41.3623,41.371,41.364,41.377,41.371,41.364,41.357,41.357,41.371,41.364,41.357
"P197",41.4428,0,0,0,41.502,41.419,41.419,0,0,41.412,41.467
"P198",41.7021,41.716,41.715,41.729,41.702,41.722,41.702,41.688,41.708,41.695,41.674
"P199",41.8958,41.936,41.895,0,0,41.888,0,41.888,0,0,41.887
"P200",42.0794,42.088,42.081,42.088,42.095,42.088,42.081,42.074,42.081,42.074,42.074
"P201",42.234,0,42.239,0,0,0,0,42.239,0,0,0
"P202",42.3155,42.315,42.322,42.322,42.322,42.322,42.315,42.308,42.322,42.322,42.315
"P203",42.4618571428571,0,42.474,42.467,0,42.481,42.467,42.46,42.439,42.46,0
"P204",42.63,42.681,42.605,0,0,0,0,42.619,0,0,0
"P205",42.8695,42.86,42.874,42.887,42.888,42.895,42.874,42.86,42.86,42.867,42.86
"P206",42.970625,42.977,42.977,42.977,42.977,42.977,42.97,0,42.97,42.97,0
"P207",43.3645,43.35,43.377,43.356,0,43.363,0,43.384,0,0,43.377
"P208",43.483,43.488,0,0,0,0,0,0,0,0,0
"P209",43.6433333333333,43.646,43.653,43.646,43.667,0,0,0,43.639,43.639,0
"P210",43.7314,43.722,43.756,43.736,43.736,43.736,43.729,43.743,43.722,43.729,43.735
"P211",43.9224,43.922,43.936,43.949,43.901,43.943,43.929,43.929,43.922,43.922,43.901
"P212",44.0235,44.019,44.025,44.053,44.025,44.046,44.025,44.018,44.025,44.018,44.011
"P213",44.1276666666667,0,44.122,44.149,44.136,44.143,44.136,44.115,44.129,44.122,44.122
"P214",44.243,44.246,44.26,44.26,44.232,44.26,44.246,44.239,44.246,44.239,44.232
"P215",44.51,0,44.515,0,0,0,0,0,0,0,0
"P216",44.6045714285714,44.612,44.611,44.611,0,44.612,44.598,0,44.605,44.598,0
"P217",44.6806,44.681,44.687,44.694,44.68,44.694,44.68,44.68,44.68,44.68,44.68
"P218",44.921,44.936,44.949,44.942,0,44.943,44.915,44.936,44.887,44.88,0
"P219",45.1918888888889,45.191,45.128,45.204,0,45.205,45.204,45.211,45.198,45.204,45.197
"P220",45.3648,45.411,45.377,45.377,45.356,45.384,45.363,45.356,45.349,45.349,45.356
"P221",45.4353333333333,0,45.453,45.459,45.425,45.467,45.439,45.432,45.418,45.425,45.425
"P222",45.7786,45.804,45.79,45.79,45.777,45.784,45.777,45.77,45.777,45.777,45.77
"P223",46.118,46.115,46.128,46.128,46.115,46.129,46.122,46.122,46.115,46.122,46.114
"P224",46.3716,46.363,46.383,46.39,46.363,46.404,46.37,46.37,46.37,46.37,46.363
"P225",46.493,46.46,46.514,46.514,46.494,46.515,46.494,46.501,46.48,46.494,46.494
"P226",46.608,46.639,46.639,46.597,0,46.625,46.584,46.632,46.584,46.584,0
"P227",46.7971111111111,46.784,46.811,46.811,46.797,46.818,0,46.804,46.797,46.804,46.783
"P228",47.015,47.011,47.018,47.032,47.032,47.025,47.011,47.018,47.018,47.004,47.011
"P229",47.1354,47.204,47.135,47.142,47.135,47.142,47.128,47.114,47.121,47.142,47.121
"P230",47.2742,0,47.273,47.273,0,47.28,0,47.287,0,0,47.273
"P231",47.4493333333333,47.459,47.438,47.466,0,0,0,0,0,0,0
"P232",47.6558571428571,47.652,0,47.673,47.659,0,47.666,0,47.652,47.652,47.652
"P233",47.7393333333333,47.77,47.735,0,0,0,0,47.728,0,0,0
"P234",47.7965555555556,0,47.804,47.804,47.804,47.811,47.797,47.797,47.797,47.79,47.79
"P235",48.137,0,48.142,0,0,0,0,0,0,0,0
"P236",48.3728888888889,48.376,48.376,48.383,0,48.383,48.376,48.369,48.363,48.383,48.362
"P237",48.4435,0,48.452,0,0,0,0,48.445,0,0,0
"P238",48.5911111111111,0,48.597,48.597,48.59,48.597,48.597,48.59,48.59,48.59,48.597
"P239",48.692,0,48.707,0,48.694,0,0,48.694,0,0,48.693
"P240",48.843,0,0,0,0,0,0,0,0,0,48.838
"P241",48.9073333333333,0,48.914,48.9,48.914,48.907,48.907,48.914,48.907,48.914,48.914
"P242",49.189,0,0,0,49.204,0,0,0,0,0,0
"P243",49.461,0,0,0,0,49.466,0,0,0,0,0
"P244",49.681,0,49.686,0,0,0,0,0,0,0,0
"P245",49.882,0,49.893,0,0,49.88,0,49.893,0,0,49.872
"P246",50.03,50.004,50.031,50.086,0,50.031,0,50.031,0,0,50.017
"P247",50.133,0,0,0,50.148,0,0,0,0,0,0
"P248",50.7936666666667,0,0,0,50.81,50.797,50.81,50.79,0,50.769,50.796
"P249",51.106,0,0,0,51.121,0,0,0,0,0,0
"P250",51.4,0,0,0,0,51.39,51.41,0,0,0,0
"P251",51.771,0,0,0,0,0,0,0,51.776,0,0
"P252",51.863,0,0,0,0,0,0,0,0,0,51.858
"P253",52.1618,0,0,52.155,52.176,52.155,52.162,0,0,52.176,0
"P254",52.446,0,52.451,0,0,0,0,0,0,0,0
"P255",52.705,0,0,0,52.72,0,0,0,0,0,0
"P256",53.131,0,0,0,53.148,53.134,0,0,0,0,0
"P257",53.253,0,0,0,0,0,53.217,0,0,0,53.279
"P258",53.6565,53.658,0,0,0,0,0,0,53.665,0,0
"P259",54.573,0,0,0,0,0,0,0,0,54.568,0
"P260",55.098,0,0,0,55.113,0,0,0,0,0,0
"P261",55.7285,0,0,55.747,0,0,0,0,55.72,0,0
"P262",55.8985714285714,55.906,55.858,0,55.927,55.906,55.892,55.913,0,0,55.913
"P263",56.4358571428571,0,0,56.451,56.451,56.437,56.444,0,56.43,56.423,56.43
"P264",57.367,0,57.402,57.416,57.333,57.347,0,0,0,0,0
"P265",58.167,0,0,0,58.182,0,0,0,0,0,0
"P266",58.866,0,0,0,0,0,0,58.871,0,0,0
