Peak,Compound,mean_RT,Fly_027,Fly_029,Fly_039,Fly_037,Fly_028,Fly_040,Fly_030,Fly_022,Fly_033,Fly_038
P40,,15.182,,,,,,15.168,15.196,,,
P41,,15.359,15.313,,,,,,15.32,,,15.444
P42,,15.575,,,15.575,,,,,,,
P43,,15.8265,15.871,,,,,15.782,,,,
P44,,16.04225,16.037,16.044,16.037,16.037,16.037,,16.044,16.051,16.051,
P45,,16.106,16.106,,,,,,16.106,,,16.106
P46,,16.2195,16.23,,,,,,,16.209,,
P47,,16.3484444444444,16.34,16.34,16.34,16.347,16.34,,16.347,16.402,16.333,16.347
P48,,16.6918333333333,16.802,,16.712,16.713,,16.664,,,16.658,16.602
P49,,16.933,16.933,,,,,,,,,
P50,C15_ane_NA,17.1139,17.12,17.112,17.112,17.119,17.113,17.113,17.113,17.112,17.113,17.112
P51,,17.2489,17.251,17.25,17.243,17.25,17.251,17.25,17.25,17.25,17.244,17.25
P52,,17.3915,17.395,,,,,,,17.388,,
P53,,17.506,,,,,,17.506,,17.506,,
P54,,17.678,,,,,,17.685,,17.671,,
P55,,17.8183333333333,17.775,,,,,17.795,,,,17.885
P56,,18.0793333333333,18.099,18.085,,,18.099,18.03,18.092,18.071,,
P57,,18.6675,18.664,18.664,18.671,18.678,18.657,18.664,18.678,18.671,18.671,18.657
P58,,18.788,,,,,,,,18.788,,
P59,,18.9435,,,,,,18.947,,,,18.94
P60,,19.029,,,,,,19.029,,,,
P61,,19.415,19.416,19.416,19.415,19.409,19.423,19.422,19.416,19.409,19.402,19.422
P62,,19.629,,,,,,19.629,,,,
P63,,19.7141,19.719,19.705,19.712,19.719,19.712,19.719,19.712,19.712,19.719,19.712
P64,,20.119,20.119,,,,,,,,,
P65,,20.4004,20.388,20.381,20.381,20.374,20.381,20.464,20.388,20.533,20.374,20.34
P66,,20.6775,20.712,,,,,,,20.643,,
P67,,20.9586,20.96,20.96,20.953,20.96,20.953,20.96,20.967,20.953,20.96,20.96
P68,,21.1125,21.112,21.091,21.084,21.112,21.112,21.153,21.112,21.091,21.112,21.146
P69,,21.2845,,,21.236,21.243,,21.333,,,,21.326
P70,,21.4866666666667,,,,,21.526,21.477,,,,21.457
P71,C17_ane_NA,21.6115,21.615,21.608,21.608,21.615,21.608,21.615,21.615,21.608,21.608,21.615
P72,,21.8736666666667,21.877,21.877,21.87,21.877,21.871,,,,21.87,
P73,,21.935,21.939,21.939,21.932,21.939,21.926,21.939,21.932,21.932,21.933,21.939
P74,,22.1358888888889,22.139,,22.132,22.132,22.139,22.139,22.132,22.132,22.139,22.139
P75,,22.3603333333333,,,,,,22.319,,22.45,,22.312
P76,,22.5767142857143,22.588,22.587,22.573,22.581,22.588,22.539,,,22.581,
P77,,22.753,,,,,,22.753,,,,
P78,,22.9484444444444,22.981,22.932,22.918,22.932,22.926,22.981,,22.974,22.925,22.967
P79,,23.1664,,,,23.187,,23.208,23.194,23.056,,23.187
P80,,23.3185,23.291,23.346,,23.298,,,,,23.339,
P81,,23.477,23.484,,,,,23.47,,,,
P82,,23.5554,,,,,,23.58,23.532,23.525,23.553,23.587
P83,,23.7287,23.746,23.739,23.739,23.739,23.739,23.705,23.739,23.698,23.732,23.711
P84,,23.967,,,,,,,,,,23.967
P85,,24.0518,24.049,24.056,24.049,24.056,24.049,24.049,24.056,24.049,24.049,24.056
P86,,24.1573333333333,24.16,,24.152,,24.16,,,,,
P87,,24.2735,24.277,,,,,,,24.27,,
P88,,24.4353333333333,,24.435,24.428,24.442,24.443,24.429,24.442,24.435,24.429,24.435
P89,,24.503625,24.505,24.504,24.497,24.498,24.505,,24.511,24.511,24.498,
P90,,24.6262222222222,,24.628,24.635,24.629,24.636,24.608,24.635,24.628,24.622,24.615
P91,,24.763,,24.732,24.739,24.808,24.739,,,,24.732,24.828
P92,,24.8723333333333,24.877,,,,24.87,,,,24.87,
P93,,25.0497,25.056,25.049,25.049,25.049,25.049,25.049,25.056,25.042,25.049,25.049
P94,C19_ene_NA,25.1821,25.187,25.18,25.18,25.18,25.18,25.187,25.187,25.18,25.18,25.18
P95,,25.3305555555556,25.339,25.332,25.325,25.339,25.346,25.263,25.346,25.339,25.346,
P96,,25.4665,,,,,,25.463,,,,25.47
P97,,25.5814,25.594,25.594,25.587,25.587,25.594,25.566,25.58,25.566,25.58,25.566
P98,C19_ane_NA,25.7662,25.815,25.814,25.821,25.78,25.801,25.704,25.746,25.697,25.78,25.704
P99,,25.842,,,,,,25.835,,25.849,,25.842
P100,,26.1033,26.111,26.111,26.104,26.104,26.111,26.097,26.104,26.09,26.104,26.097
P101,,26.2668,,26.242,26.249,,26.256,26.345,,26.242,,
P102,,26.5456,26.573,,,,,26.539,26.511,26.573,,26.532
P103,,26.9974444444444,27.035,27.028,27.014,27.001,27.021,26.987,26.959,,26.994,26.938
P104,,27.15925,27.208,,,,,,,27.138,27.194,27.097
P105,,27.284,27.29,27.276,27.283,27.29,27.283,,27.283,,27.283,
P106,,27.421,,,27.421,,,27.421,,27.414,,27.428
P107,C20_ane_NA,27.6085,27.614,27.614,27.614,27.614,27.608,27.607,27.607,27.6,27.607,27.6
P108,,27.689,27.69,27.69,27.69,27.69,27.683,,27.69,,27.69,
P109,,27.9954,28,28,27.993,28,27.994,27.987,28,27.993,27.994,27.993
P110,,28.1195714285714,28.118,28.124,28.117,28.124,28.118,,28.125,,28.111,
P111,,28.4462222222222,28.428,28.421,28.421,28.428,28.428,28.524,28.421,,28.421,28.524
P112,,28.696,28.704,,28.697,,28.704,28.69,28.697,,28.69,28.69
P113,C21_diene_NA,28.8259,28.828,28.828,28.821,28.828,28.821,28.828,28.828,28.828,28.821,28.828
P114,C21_ene_NA,28.9394,28.938,28.938,28.938,28.945,28.938,28.938,28.945,28.945,28.931,28.938
P115,C21_ene_NA,29.0425555555556,29.042,,29.041,29.048,29.042,29.042,29.042,29.042,29.042,29.042
P116,,29.1672,29.193,29.173,29.172,29.173,29.187,29.145,29.159,29.152,29.166,29.152
P117,,29.324,,,,,,29.324,,,,29.324
P118,C21_ane_NA,29.4766,29.504,29.504,29.496,29.497,29.49,29.455,29.462,29.441,29.476,29.441
P119,,29.5732222222222,29.586,29.593,29.579,29.586,29.586,29.545,29.566,,29.58,29.538
P120,,29.6955,29.704,29.704,29.703,29.704,29.704,29.69,29.697,29.683,29.69,29.676
P121,,29.8445555555556,29.855,29.855,29.855,29.841,29.849,29.835,29.841,,29.835,29.835
P122,,30.0054,29.979,,29.965,29.979,,30.076,,30.028,,
P123,,30.29825,30.4,,,30.366,30.379,30.186,30.255,30.317,30.317,30.166
P124,,30.4304,,30.428,30.407,,,30.428,30.455,,,30.434
P125,,30.6415,,,,,,30.593,,30.69,,
P126,C22_ene_NA,30.68175,30.669,30.662,30.676,30.676,,30.696,30.71,,30.669,30.696
P127,,30.7997777777778,30.793,30.793,30.793,30.793,30.793,30.827,30.793,,30.786,30.827
P128,C22_ene_NA,30.9478571428571,30.952,30.952,30.951,30.952,30.945,,30.945,,30.938,
P129,,31.06525,,,31.075,,,31.062,31.062,,,31.062
P130,C22_ane_NA,31.1783,31.186,31.179,31.172,31.179,31.179,31.179,31.179,31.179,31.172,31.179
P131,,31.296,,,,31.296,,,,,,
P132,,31.5497142857143,31.552,31.551,31.544,31.552,31.552,,31.552,,31.545,
P133,,31.607,,,,,,31.607,31.607,31.607,,31.607
P134,,31.728,31.731,31.724,31.724,31.731,31.724,,31.738,,31.724,
P135,,31.9832,31.979,31.979,31.979,31.986,31.986,31.979,31.993,31.986,31.979,31.986
P136,,32.096,,,,,,,,32.096,,
P137,,32.2677777777778,32.241,,32.296,32.234,32.234,32.255,32.324,32.234,32.248,32.344
P138,C23_diene_NA,32.324,32.331,32.324,,32.317,32.317,32.331,,32.324,32.324,
P140,C23_ene_NA,32.4292,32.431,32.427,32.427,32.43,32.414,32.427,32.441,32.434,32.42,32.441
P141,,32.5438,32.551,32.558,32.565,32.544,32.538,32.531,32.544,32.531,32.538,32.538
P142,,32.668,32.676,32.662,32.668,32.669,32.662,32.662,32.675,32.675,32.662,32.669
P143,C23_ane_NA,32.943,32.944,32.903,32.923,32.931,32.896,32.979,32.965,32.986,32.91,32.993
P144,,33.027,,33.02,,33.041,33.02,,,,33.027,
P145,,33.0558333333333,33.048,,33.034,,,33.062,33.055,33.068,,33.068
P146,,33.298,33.303,33.289,33.289,33.289,33.289,33.317,33.282,33.317,33.275,33.33
P147,,33.4291,33.434,33.427,33.42,33.427,33.42,33.448,33.42,33.441,33.413,33.441
P148,,33.5545,,,,,,,,33.544,,33.565
P149,,33.8133333333333,,,,,,33.861,,33.724,,33.855
P150,C24_ene_NA,34.0375,,,,,,34.034,,,,34.041
P151,,34.1481111111111,34.172,34.179,34.165,34.165,34.158,34.158,34.137,34.048,34.151,
P152,,34.213,,,,,34.213,,,,,
P153,C24_ane_NA,34.4668,34.468,34.461,34.468,34.468,34.462,34.468,34.475,34.468,34.461,34.469
P154,,34.6738,,,,34.661,34.655,34.703,34.654,34.696,,
P155,,34.7747142857143,34.779,34.778,34.778,34.772,34.772,,34.772,,34.772,
P156,,34.9144,34.917,34.916,34.909,34.91,34.917,34.923,34.896,34.923,34.903,34.93
P157,,35.0599,35.075,35.075,35.075,35.068,35.068,35.041,35.068,35.027,35.061,35.041
P158,,35.22175,35.234,35.213,,35.22,,35.227,35.227,35.22,35.213,35.22
P159,,35.351,35.358,35.351,35.351,35.351,35.351,,35.358,35.337,35.351,
P160,,35.468,,,,,,,,35.468,,
P161,C25_diene_NA,35.558,,,,,,35.551,,35.565,,35.558
P162,C25_ene_NA,35.6403333333333,,,,,,35.634,,35.647,,35.64
P163,,35.6925,,,,,,,,35.696,,35.689
P164,C25_ene_NA,35.7393333333333,,,,,,35.737,,35.744,,35.737
P165,,35.7845,35.785,35.806,35.792,35.765,35.765,,35.723,,35.758,35.882
P166,C25_ane_NA,36.121,36.137,36.082,36.088,36.137,36.075,36.171,36.13,36.164,36.075,36.151
P167,,36.2527,36.268,36.247,36.233,36.261,36.234,36.268,36.254,36.261,36.24,36.261
P168,,36.429125,36.461,36.454,36.433,36.433,36.441,36.385,36.406,,36.42,
P169,,36.52125,,,,,,36.53,36.509,36.516,,36.53
P170,,36.6401428571429,36.647,36.647,36.64,36.647,36.64,,36.633,,36.627,
P171,,36.798,36.806,,,36.806,36.799,36.792,36.799,36.799,,36.785
P172,,36.9207,36.902,36.895,36.902,36.902,36.909,36.971,36.902,36.971,36.889,36.964
P173,,37.13,,,,,,37.13,,,,37.13
P174,,37.2804,37.323,37.344,37.323,37.302,37.337,37.213,37.254,37.206,37.289,37.213
P175,C26_ane_NA,37.5293,37.544,37.537,37.53,37.544,37.523,37.523,37.53,37.53,37.516,37.516
P176,,37.9055,,,,,,37.888,37.923,,,
P177,,38.00125,38.033,,38.012,37.992,38.026,37.992,,37.999,37.964,37.992
P178,,38.0985,,,,,,38.095,,38.102,,
P179,,38.2277,38.282,38.309,38.267,38.254,38.261,38.171,38.171,38.178,38.213,38.171
P180,,38.4318333333333,,38.412,38.46,,38.413,,38.433,38.433,38.44,
P181,C27_ene_NA,38.541625,38.468,38.481,,38.461,38.454,38.605,38.633,38.619,,38.612
