Compound,Class,Chain.length,RI,Mod.position,Fly_001,Fly_002,Fly_004,Fly_005,Fly_006,Fly_016,Fly_017,Fly_018,Fly_019,Fly_020,Fly_003,Fly_007,Fly_008,Fly_009,Fly_010,Fly_011,Fly_012,Fly_013,Fly_014,Fly_015,Fly_021,Fly_023,Fly_024,Fly_025,Fly_026,Fly_031,Fly_032,Fly_034,Fly_035,Fly_036,Fly_022,Fly_027,Fly_028,Fly_029,Fly_030,Fly_033,Fly_037,Fly_038,Fly_039,Fly_040
C26,Alkane,26,2600,"NA",2.0595104494073224,1.56515421635244,1.0834994273201208,1.3642435435294673,1.2048651243557922,1.2026682883182782,0.9721739650083753,1.2216920257240365,1.0625424953478633,0.9553985643094479,1.4092019586117248,0.7690852186165171,1.0244190893461214,0.7844664678920855,1.2437059600185547,1.0371133979944795,0.5110728895649359,0.9441540539966842,0.9710899605617178,0.5163190824692792,0.8826823249663371,1.1293576094004745,0.7842663671425535,0.9287256361319807,1.1033248370369941,0.8664637183834651,1.1512374091999182,0.948808953959032,1.31326923261083,0.9911686330826369,1.0400150945563416,0.9963390275309177,1.3377107183781842,0.8681665108450441,1.0530171668055177,0.9748147363666982,1.096800789025461,1.093246267611345,0.9736846877325561,1.1834202596232832
C27:ene,Alkene,27,2665,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8190491161784363,0.27292955782655504,0.26273731385750476,0.372336484835059,1.5987583686170592,0,0.33651399234396523,2.9192959598787507,0,1.5501649802881945
C27:ene,Alkene,27,2669,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.167642110160462,2.609897168666018,1.861545922123125,2.333385713861403,2.5013301238328336,3.533591149784047,1.5284202381882965,3.5614876585029576,2.3410278336199957,3.0465026007380174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27:ene,Alkene,27,2672,"NA",7.368396999458886,3.88544929720691,2.208653603587846,4.739096974487256,3.0665279201281623,2.502880435731149,4.243309196657304,3.365874828800856,3.7753616378993016,2.529456427749687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27:ene,Alkene,27,2672,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.988184452098123,1.6079079018174107,2.6650202179876357,0,2.491090499318851,0,1.9200769424564261,2.8973351469112845,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27:ene,Alkene,27,2676,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905651895502315,1.2205859991655617,1.291679155925861,1.6404081624672415,1.6863637914494811,2.20534641262999,0.8345525580714903,2.6207651874568882,1.7141819354252594,1.7092919191544271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27:ene,Alkene,27,2676,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2310317765316752,5.688160476916253,9.717493216070206,12.162414381755598,3.1028946095443635,10.093414296822123,6.090861747128283,1.4824520761524895,8.25882821287071,0.808165671434156
C27:ene,Alkene,27,2676,"NA",1.2875267179196972,1.2730556765228096,0.7593891900299872,1.1202744971157608,0.5691507223397587,0.7116876983213999,0.9674693671270406,0.7967952388814502,0.7265171035175265,0.7577356514251714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27,Alkane,27,2700,"NA",37.46245062837069,33.74567359678989,29.613420004684794,28.6588976685307,33.82903382909946,21.00475561522562,15.341177801279171,19.70101124892974,21.75527449272363,14.325009064372454,25.094509240217057,11.69581361462356,25.95609384022178,17.100991206233825,18.87931930128113,20.580555722117364,10.528125581283037,22.68590134744479,22.76513597805537,7.640062742543449,17.24160323344482,24.335880892556183,13.955682263014985,18.66951293575809,19.889883964225074,16.61039106029506,25.352582508995702,18.129261283864682,29.612862631306175,19.627308373740114,21.25378781264882,21.8232228027462,18.9547420153671,12.523112981590062,20.523427366723073,10.958394636113496,21.988383259451385,20.490048270177965,16.361596406496382,24.652330850145187
11;13-MeC27,Methyl,27,2726,11;13-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18456145429304796,0.3493193785074869,0.19193700335860264,0.187002645336989,0.22775150154904722,0.18299552188247728,0.42000939842658774,0.2846359088255455,0.3137250792541802,0.15808717536545513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11;13-MeC27,Methyl,27,2726,11;13-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38463042649081947,0.3775544082340577,0.3017204215081767,0.24791814789220648,0.46784012351429627,0.34094796378306663,0.4106144676407175,0.6761468861806854,0.2433136779226906,0.4046307213302595
11;13-MeC27,Methyl,27,2729,11;13-,0.5402372668252192,0.4932792941086379,1.0193817726895955,0.9602948627460037,1.1552480808727197,0.752704058811976,0.6770320521927268,0.9879050440171634,1.0145350007299618,0.7928460704725191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11;13-MeC27,Methyl,27,2729,11;13-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4291348113145679,0.3147944583270573,0.7389065892200501,0.35821126775071005,0.9239241202877773,0.8701092571782886,0.486633996576086,0.42338617853709404,0.8645889721112092,0.4888548739444578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C28,Alkane,28,2800,"NA",0.6534357229803248,0.8507297709183108,0.6509734619292015,0.6261248139332147,0.6445191234324251,0.6470407723182627,0.4583026054048686,0.5394984428360697,0.6466430959105769,0.4501953961118481,0.8621099491709485,0.34994388322696085,0.5796236439809737,0.396345801907695,0.5024524311141754,0.7649218120672314,0.2944324194143578,0.579673628732444,0.6863120117211216,0.3763063800669991,0.471440754117695,0.6859879117490318,0.2756949903397854,0.4242380285325806,0.6747562641711905,0.31229163451889136,0.8356006952913289,0.4594845939858744,0.862270471900781,0.43835126046531897,0.8376967178927707,0.9162273628107249,0.7807354766895122,0.32986977154914254,0.8162275500793598,0.3651154877153819,0.6150084408685752,0.5777770773942144,0.6548164599687373,1.0206594443635835
C29:ene,Alkene,29,2874,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7095244630301254,1.6019064369109504,0.9347345734650977,0.6232976103806692,1.3352030679893803,1.5183962514175118,1.3938242563671692,2.229774772448486,0.6764348050793441,0
