Peak,Compound,mean_RT,Fly_020,Fly_005,Fly_016,Fly_017,Fly_018,Fly_002,Fly_004,Fly_006,Fly_001,Fly_019
P58,,18.6663333333333,18.678,18.664,18.671,18.664,18.657,18.65,18.664,18.678,18.671,
P59,,18.7973333333333,18.802,,18.795,18.795,,,,,,
P60,,18.9563333333333,18.954,18.961,,,,,,18.954,,
P61,,19.2156666666667,19.202,,,,,,19.271,19.174,,
P62,,19.4125,19.416,19.423,19.402,19.416,,19.416,19.402,,,
P63,,19.616,,,,,,,19.616,,,
P64,,19.7158888888889,19.712,19.719,19.712,19.712,19.712,19.712,19.719,19.726,,19.719
P65,,19.816,,,,,,,19.816,,,
P66,,20.002,,,,,,,20.002,,,
P67,,20.172,,,,20.222,,,20.147,,,20.147
P68,,20.312,,,,,,,20.312,,,
P69,,20.5443333333333,,20.547,,,,,20.546,,,20.54
P70,,20.612,,,,,,,20.615,,,20.609
P71,,20.719,,,,,,,20.719,,,
P72,,20.962,20.995,20.953,20.96,,,,20.94,,,
P73,C17_ene_NA,21.1092,21.105,21.119,21.091,21.105,21.119,21.112,21.119,21.112,21.112,21.098
P74,,21.443,21.457,21.477,,21.464,21.457,,21.36,,,
P75,C17_ane_NA,21.6122,21.608,21.615,21.608,21.615,21.615,21.615,21.608,21.615,21.608,21.615
P76,,21.7875,,,,21.815,,,21.76,,,
P77,,21.9347777777778,21.933,21.946,21.932,21.926,21.932,21.932,21.939,21.933,,21.94
P78,,22.139,22.139,22.139,22.139,22.139,22.139,22.139,22.132,22.139,22.139,22.146
P79,,22.401,,,,,,,22.401,,,
P80,,22.8285,,,,22.794,,,22.863,,,
P81,,22.9748571428571,22.981,22.981,,22.987,,22.967,22.946,22.988,22.974,
P82,,23.0704,23.043,,23.05,23.043,23.063,,23.153,,,
P83,,23.201,23.201,,,,,,,,,
P84,,23.4516666666667,,,,,23.47,23.47,23.415,,,
P85,,23.553,,,,,,,23.553,,,
P86,,23.656,,,,,,,23.656,,,
P87,,23.7264,23.725,23.725,23.725,23.732,23.732,23.725,23.725,23.732,23.711,23.732
P88,,23.849,,23.856,,,,,23.842,,,
