Compound,Class,Chain.length,RI,Mod.position,Fly_020.x,Fly_005.x,Fly_016.x,Fly_017.x,Fly_018.x,Fly_002.x,Fly_004.x,Fly_006.x,Fly_001.x,Fly_019.x,Fly_001.y,Fly_002.y,Fly_004.y,Fly_005.y,Fly_006.y,Fly_016.y,Fly_017.y,Fly_018.y,Fly_019.y,Fly_020.y,Fly_009.x,Fly_010.x,Fly_008.x,Fly_007.x,Fly_011.x,Fly_013.x,Fly_014.x,Fly_012.x,Fly_015.x,Fly_003.x,Fly_003.y,Fly_007.y,Fly_008.y,Fly_009.y,Fly_010.y,Fly_011.y,Fly_012.y,Fly_013.y,Fly_014.y,Fly_015.y,Fly_026.x,Fly_032.x,Fly_025.x,Fly_021.x,Fly_023.x,Fly_031.x,Fly_035.x,Fly_036.x,Fly_024.x,Fly_034.x,Fly_021.y,Fly_023.y,Fly_024.y,Fly_025.y,Fly_026.y,Fly_031.y,Fly_032.y,Fly_034.y,Fly_035.y,Fly_036.y,Fly_027.x,Fly_029.x,Fly_039.x,Fly_037.x,Fly_028.x,Fly_040.x,Fly_030.x,Fly_022.x,Fly_033.x,Fly_038.x,Fly_022.y,Fly_027.y,Fly_028.y,Fly_029.y,Fly_030.y,Fly_033.y,Fly_037.y,Fly_038.y,Fly_039.y,Fly_040.y
C22,Alkane,22,2200,"NA",31.179,31.179,31.172,31.179,31.172,31.172,31.172,31.172,31.172,31.172,0.46439147773280554,0.4089183277010491,0.42575733329688303,0.41759659520220727,0.5060069211234538,0.3979272137507114,0.5072663490267978,0.43642625898383414,0.4783373996117134,0.6412018285624533,31.186,31.172,31.179,31.179,31.172,31.172,31.172,31.179,31.172,31.172,0.3412958118487201,0.6713851181404725,0.5179959427860324,0.7999100311344653,0.6104349767352572,0.6585563784544829,0.8897894262467032,0.4569829616321348,0.594182488232624,0.9613352813842118,31.179,31.186,31.179,31.179,31.179,31.172,31.172,31.179,31.172,31.172,0.41636143478306353,0.24811065705518864,0.5672900080080522,0.43612175243440643,0.3714532907650037,0.2599879936838655,0.2977260459787427,0.30000575264747803,0.2234348881205359,0.3626412141639173,31.186,31.179,31.172,31.179,31.179,31.179,31.179,31.179,31.172,31.179,0.2895450046648973,0.3261000532875874,0.5014199379687574,0.5999675656246847,0.46815388470839664,0.4950690030440884,0.40447279355854077,0.39984609980757946,0.57672053127752,0.2774627855052625
C23:diene,Alkadiene,23,2263,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.324,32.324,32.324,32.338,32.324,32.324,32.324,32.324,32.317,32.324,0.3352242889986021,0.5182484488144007,0.3042638465099424,0.35417370088028577,0.2933319245469925,13.60362595676027,0.4314614929057957,0.3611140505440805,0.3883635054936292,0.33871227226133127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:diene,Alkadiene,23,2265,"NA",32.331,32.324,32.317,32.317,32.317,32.317,32.317,NA,32.324,32.317,0.4193533738039294,0.29641630868447116,0.16683003102509153,0.5484511072270842,0,0.3413024003861062,0.3324939934863518,0.2950483352572589,0.41159412300712744,0.3112056668110718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.331,32.324,NA,32.317,32.317,32.331,NA,32.324,32.324,NA,0.4438021435856442,0.30049233651602375,0.26668166989836484,0.25068611190903967,0,0.4549034619440816,0.3286723393611596,0,0,0.4949771928465781
C23:diene,Alkadiene,23,2266,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.317,NA,32.324,32.317,NA,32.317,NA,32.317,32.31,32.317,0.3301193223591717,0.2724043299885935,0.19904862942237508,0.19402877740469343,0,0,0.2036805434660754,0.2260112905082576,0,0.15578116798907535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2269,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.455,32.427,32.455,32.462,32.427,32.448,32.413,32.441,32.434,32.427,4.072439681782902,2.8384823003885935,4.373981966691396,4.073585120326356,2.8910316553321285,2.533332558916733,1.6547370317187549,3.8695433206834737,1.855630117575178,5.1321243108448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2270,"NA",32.441,32.427,32.42,32.42,32.414,32.413,32.407,32.407,32.407,32.407,3.0881233520201987,2.432264406372817,1.5252782438807821,2.9772561053142885,1.5013320516224629,3.2749959277329848,3.8499133786917437,2.749004862715792,3.394681482045984,3.5632103416587846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2271,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.42,32.414,32.413,32.427,NA,32.407,32.4,32.4,32.399,32.407,2.640372367111901,3.113526043018065,1.651176967962893,1.7095719976494486,0.9978986262863079,0,2.8474476140732685,2.1917934180033605,0.968429118189192,2.0115150480984427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.431,32.427,32.427,32.43,32.414,32.427,32.441,32.434,32.42,32.441,3.0289602456314455,1.5397836674830658,1.2071151520103705,1.034197449740916,2.9712770802062307,3.243037367574682,1.559865326266741,3.5398256894796263,1.9837250572457448,2.0935606518569627
C23:ene,Alkene,23,2274,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.551,32.53,32.551,32.565,32.531,32.545,32.524,32.531,32.538,32.538,1.8774643868593301,0.3813383789819587,1.734953953745206,0.9932418685560003,0.9167330119214007,0.7955114618424594,0.32063793756169523,1.548947019727645,0.2805744302107151,1.0018647151082656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2276,"NA",32.531,32.531,32.524,32.524,32.524,32.517,32.517,32.517,32.517,32.517,0.22267729228509525,0.1914586081694472,0.17880055572787037,0.1634991494857892,0.18221570085817937,0.2138175335477765,0.4136656626663863,0.23715986672526052,0.3183986175648532,0.32365497749275207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23,Alkane,23,2300,"NA",33.048,32.958,32.972,32.979,32.944,32.965,32.903,32.903,32.91,32.924,18.005763247118367,22.142228511373176,10.991510864288093,16.059735903591037,11.688325573578865,20.42709867338421,26.257277962744226,18.867314972435263,20.932245102248242,33.950206972762274,32.931,32.903,32.924,32.993,32.862,32.924,32.876,32.924,32.882,32.917,14.832831251480217,24.73604913077091,11.160928097064168,13.041831964728848,8.687867090335427,6.277990957970565,23.75915807144699,18.90821191008932,9.278471459450815,18.759013898715295,33.096,32.979,33.068,33.069,32.972,33,32.944,32.993,33.027,32.972,24.527138641735277,14.561250179469098,32.182694933627225,23.88385116553098,24.185529698393264,19.13753857795649,10.134389394056923,21.768277139964464,10.432141842672806,22.430293649096427,32.944,32.903,32.923,32.931,32.896,32.979,32.965,32.986,32.91,32.993,16.88169115963277,8.07808909695516,7.12511970599211,7.91780436674104,16.071485418202016,13.362523042830823,8.393239917592062,21.710407161882994,9.161946783668974,12.393952023794268
