"","mean_RT","Fly_022","Fly_027","Fly_028","Fly_029","Fly_030","Fly_033","Fly_037","Fly_038","Fly_039","Fly_040"
"P117",29.324,0,0,0,0,0,0,0,29.324,0,29.324
"P118",29.4746,29.441,29.504,29.49,29.504,29.462,29.476,29.497,29.441,29.496,29.455
"P119",29.5715555555556,0,29.586,29.586,29.593,29.566,29.58,29.586,29.538,29.579,29.545
"P120",29.6935,29.683,29.704,29.704,29.704,29.697,29.69,29.704,29.676,29.703,29.69
"P121",29.8428888888889,0,29.855,29.849,29.855,29.841,29.835,29.841,29.835,29.855,29.835
"P122",30.0024,30.028,29.979,0,0,0,0,29.979,0,29.965,30.076
"P123",30.29575,30.317,30.4,30.379,0,30.255,30.317,30.366,30.166,0,30.186
"P124",30.4294,0,0,0,30.428,30.455,0,0,30.434,30.407,30.428
"P125",30.588,0,0,0,0,0,0,0,0,0,30.593
"P126",30.6798888888889,30.69,30.669,0,30.662,30.71,30.669,30.676,30.696,30.676,30.696
"P127",30.7981111111111,0,30.793,30.793,30.793,30.793,30.786,30.793,30.827,30.793,30.827
"P128",30.9457142857143,0,30.952,30.945,30.952,30.945,30.938,30.952,0,30.951,0
"P129",31.06525,0,0,0,0,31.062,0,0,31.062,31.075,31.062
"P130",31.1763,31.179,31.186,31.179,31.179,31.179,31.172,31.179,31.179,31.172,31.179
"P131",31.291,0,0,0,0,0,0,31.296,0,0,0
"P132",31.5475714285714,0,31.552,31.552,31.551,31.552,31.545,31.552,0,31.544,0
"P133",31.6045,31.607,0,0,0,31.607,0,0,31.607,0,31.607
"P134",31.7258571428571,0,31.731,31.724,31.724,31.738,31.724,31.731,0,31.724,0
"P135",31.9812,31.986,31.979,31.986,31.979,31.993,31.979,31.986,31.986,31.979,31.979
"P136",32.091,32.096,0,0,0,0,0,0,0,0,0
"P137",32.2376666666667,32.234,32.241,32.234,0,0,32.248,32.234,0,0,32.255
"P138",32.3157,32.324,32.331,32.317,32.324,32.324,32.324,32.317,32.289,32.296,32.331
"P139",32.349,0,0,0,0,0,0,0,32.344,0,0
"P140",32.4272,32.434,32.431,32.414,32.427,32.441,32.42,32.43,32.441,32.427,32.427
"P141",32.5418,32.531,32.551,32.538,32.558,32.544,32.538,32.544,32.538,32.565,32.531
"P142",32.666,32.675,32.676,32.662,32.662,32.675,32.662,32.669,32.669,32.668,32.662
"P143",32.9224285714286,0,32.944,32.896,32.903,32.965,32.91,32.931,0,32.923,0
"P144",33.0072857142857,32.986,0,33.02,33.02,0,33.027,33.041,32.993,0,32.979
"P145",33.0541666666667,33.068,33.048,0,0,33.055,0,0,33.068,33.034,33.062
"P146",33.296,33.317,33.303,33.289,33.289,33.282,33.275,33.289,33.33,33.289,33.317
"P147",33.4271,33.441,33.434,33.42,33.427,33.42,33.413,33.427,33.441,33.42,33.448
"P148",33.5545,33.544,0,0,0,0,0,0,33.565,0,0
"P149",33.8116666666667,33.724,0,0,0,0,0,0,33.855,0,33.861
"P150",34.0393333333333,34.048,0,0,0,0,0,0,34.041,0,34.034
"P151",34.158125,0,34.172,34.158,34.179,34.137,34.151,34.165,0,34.165,34.158
"P152",34.218,0,0,34.213,0,0,0,0,0,0,0
"P153",34.4648,34.468,34.468,34.462,34.461,34.475,34.461,34.468,34.469,34.468,34.468
"P154",34.6708,34.696,0,34.655,0,34.654,0,34.661,0,0,34.703
"P155",34.7725714285714,0,34.779,34.772,34.778,34.772,34.772,34.772,0,34.778,0
"P156",34.9124,34.923,34.917,34.917,34.916,34.896,34.903,34.91,34.93,34.909,34.923
"P157",35.0579,35.027,35.075,35.068,35.075,35.068,35.061,35.068,35.041,35.075,35.041
"P158",35.218,35.22,35.234,0,35.213,35.227,35.213,35.22,35.22,0,35.227
"P159",35.3485,35.337,35.358,35.351,35.351,35.358,35.351,35.351,0,35.351,0
"P160",35.463,35.468,0,0,0,0,0,0,0,0,0
"P161",35.5563333333333,35.565,0,0,0,0,0,0,35.558,0,35.551
"P162",35.6386666666667,35.647,0,0,0,0,0,0,35.64,0,35.634
"P163",35.70875,35.696,0,0,0,35.723,0,0,35.689,0,35.737
"P164",35.76775,35.744,35.785,35.765,35.806,0,35.758,35.765,35.737,35.792,0
"P165",35.887,0,0,0,0,0,0,0,35.882,0,0
"P166",36.119,36.164,36.137,36.075,36.082,36.13,36.075,36.137,36.151,36.088,36.171
"P167",36.2507,36.261,36.268,36.234,36.247,36.254,36.24,36.261,36.261,36.233,36.268
"P168",36.426625,0,36.461,36.441,36.454,36.406,36.42,36.433,0,36.433,36.385
"P169",36.51875,36.516,0,0,0,36.509,0,0,36.53,0,36.53
"P170",36.638,0,36.647,36.64,36.647,36.633,36.627,36.647,0,36.64,0
"P171",36.7958571428571,36.799,36.806,36.799,0,36.799,0,36.806,36.785,0,36.792
"P172",36.9187,36.971,36.902,36.909,36.895,36.902,36.889,36.902,36.964,36.902,36.971
"P173",37.13,0,0,0,0,0,0,0,37.13,0,37.13
"P174",37.2784,37.206,37.323,37.337,37.344,37.254,37.289,37.302,37.213,37.323,37.213
"P175",37.5273,37.53,37.544,37.523,37.537,37.53,37.516,37.544,37.516,37.53,37.523
"P176",37.9005,0,0,0,0,37.923,0,0,0,0,37.888
"P177",38,37.999,38.033,38.026,0,0,37.964,37.992,37.992,38.012,37.992
"P178",38.0935,38.102,0,0,0,0,0,0,0,0,38.095
"P179",38.2257,38.178,38.282,38.261,38.309,38.171,38.213,38.254,38.171,38.267,38.171
"P180",38.4301666666667,38.433,0,38.413,38.412,38.433,38.44,0,0,38.46,0
"P181",38.539125,38.619,38.468,38.454,38.481,38.633,0,38.461,38.612,0,38.605
"P182",38.7063,38.702,38.723,38.723,38.73,38.688,38.695,38.709,38.702,38.716,38.695
"P183",39.0758,39.109,39.13,39.054,39.033,39.074,38.999,39.102,39.081,39.06,39.136
"P184",39.2213,39.24,39.247,39.212,39.205,39.219,39.185,39.24,39.226,39.212,39.247
"P185",39.4226,39.426,39.44,39.426,39.419,39.419,39.412,39.433,39.419,39.419,39.433
"P186",39.714,39.626,0,39.778,39.764,39.681,39.743,39.771,39.667,39.757,39.654
"P187",39.8036,39.833,39.792,0,0,39.805,0,0,39.798,0,39.805
"P188",39.946,40.047,39.881,0,39.867,0,0,0,39.998,39.874,40.019
"P189",40.0786666666667,0,40.088,40.081,40.081,40.074,40.061,40.088,40.088,40.074,40.088
"P190",40.1448333333333,0,40.157,40.15,40.15,0,40.129,40.143,0,40.15,0
"P191",40.2645,0,40.274,40.261,40.267,0,40.254,40.274,0,40.267,0
"P192",40.3389,40.35,40.35,40.336,40.336,40.343,40.329,40.343,40.336,40.336,40.35
"P193",40.435,0,0,0,40.44,0,0,0,0,0,0
"P194",40.7571,40.764,40.764,40.757,40.757,40.757,40.75,40.764,40.757,40.757,40.764
"P195",41.0061666666667,40.998,0,0,0,41.005,40.998,41.053,40.998,0,41.005
"P196",41.1214,41.198,41.109,41.102,0,0,0,0,0,41.101,41.102
"P197",41.3734444444444,41.384,41.391,41.371,41.364,41.371,41.364,41.384,41.384,41.363,0
"P198",41.4423,41.453,41.467,41.426,41.433,41.44,41.433,41.446,41.446,41.432,41.467
"P199",41.477,0,0,41.481,41.481,0,41.474,0,0,0,0
"P200",41.7562,41.791,41.812,41.736,41.708,41.757,41.688,41.764,41.75,41.743,41.833
"P201",41.9541428571429,41.964,41.977,0,41.901,41.957,0,41.957,41.957,0,41.991
"P202",42.0934,42.101,42.102,42.088,42.088,42.102,42.081,42.095,42.095,42.087,42.115
"P203",42.227,42.232,0,0,0,0,0,0,0,0,0
"P204",42.32825,42.343,42.343,42.322,42.322,42.336,42.322,42.336,0,42.322,0
"P205",42.4754,42.488,42.495,42.481,42.453,42.467,42.467,42.474,42.481,42.474,42.494
"P206",42.7206666666667,42.688,0,0,0,0,0,0,42.736,0,42.743
"P207",42.7945,0,0,0,0,0,0,0,42.791,0,42.798
"P208",42.8802222222222,42.874,42.915,0,42.894,42.881,42.881,42.888,42.86,42.887,42.867
"P209",42.957,0,0,42.915,0,0,42.97,0,0,0,42.991
"P210",42.981,42.984,42.998,42.984,42.977,42.977,0,42.984,42.977,42.977,0
"P211",43.3608333333333,43.356,43.363,0,0,43.37,0,43.356,43.363,0,43.377
"P212",43.4508333333333,43.453,43.46,0,0,43.46,0,43.446,43.453,0,43.453
"P213",43.6554285714286,43.646,43.674,43.66,43.66,0,43.66,43.66,0,0,43.653
"P214",43.736,43.743,43.75,43.736,43.743,43.736,43.722,43.736,43.736,43.735,43.743
"P215",43.86875,43.853,0,0,0,0,43.905,0,43.86,0,43.867
"P216",43.9316666666667,43.949,43.922,43.908,43.915,43.943,0,43.943,43.949,43.908,43.963
"P217",44.0475,44.046,44.081,44.046,44.046,44.053,44.025,44.053,44.046,44.039,44.06
"P218",44.1492857142857,0,44.184,44.15,44.149,44.143,44.129,44.156,0,44.149,0
"P219",44.2667,44.287,44.308,44.253,44.239,44.267,44.239,44.28,44.26,44.253,44.301
"P220",44.531,0,44.536,0,0,0,0,0,0,0,0
"P221",44.6076666666667,44.604,44.618,0,0,44.611,0,44.611,44.604,0,44.618
"P222",44.6938571428571,0,44.715,44.694,44.694,44.694,44.68,44.701,0,44.694,0
"P223",44.88525,44.88,44.887,0,0,44.88,44.88,44.887,44.935,44.88,44.873
"P224",45.2001428571429,45.17,45.232,0,0,45.204,0,45.218,45.191,45.204,45.197
"P225",45.3713,45.349,45.418,45.391,45.384,45.37,45.37,45.384,45.342,45.383,45.342
"P226",45.4478,45.425,45.494,45.48,45.466,45.439,45.453,45.453,45.411,45.466,45.411
"P227",45.635,45.639,0,0,0,0,0,0,45.632,0,45.639
"P228",45.7661111111111,0,45.798,45.784,45.784,45.791,45.777,45.784,45.701,45.776,45.715
"P229",46.1234,46.121,46.135,46.122,46.128,46.128,46.122,46.128,46.121,46.128,46.121
"P230",46.213,46.218,0,0,0,0,0,0,0,0,0
"P231",46.3795,46.383,46.397,46.377,46.377,46.377,46.37,46.39,46.377,46.383,46.384
"P232",46.5222857142857,0,46.549,46.522,46.542,46.494,46.508,46.521,0,46.535,0
"P233",46.6165,46.646,0,46.591,0,46.597,0,46.597,46.639,0,46.639
"P234",46.8097,46.797,46.832,46.818,46.825,46.811,46.804,46.818,46.79,46.818,46.804
"P235",46.954,0,0,46.949,0,0,0,0,0,0,0
"P236",47.023,47.018,47.046,47.032,47.025,47.025,47.018,47.032,47.011,47.025,47.018
"P237",47.1395,0,47.156,47.142,47.149,47.142,47.128,47.142,0,47.142,47.135
"P238",47.277875,47.273,47.294,47.287,47.294,0,0,47.287,47.259,47.28,47.259
"P239",47.5025,47.501,47.514,0,0,0,0,0,0,0,0
"P240",47.666,47.659,0,0,0,0,0,0,0,47.673,0
"P241",47.7992,47.79,47.811,47.811,47.804,47.804,47.797,47.804,47.797,47.797,47.797
"P242",48.3598,48.362,48.376,48.376,48.356,48.363,48.349,48.369,48.349,48.369,48.349
"P243",48.5819,48.487,48.604,48.597,48.597,48.597,48.59,48.597,48.576,48.597,48.597
"P244",48.6885,0,0,48.687,48.687,48.7,48.694,48.687,0,48.686,0
"P245",48.8992222222222,48.9,48.907,48.907,48.907,48.907,48.907,48.907,48.859,48.907,0
"P246",49.099,0,0,49.094,0,0,0,0,0,0,0
"P247",49.56075,49.569,49.459,0,0,0,0,49.68,0,0,49.555
"P248",50.1095,0,50.148,50.114,50.141,50.107,50.114,50.114,0,50.127,50.031
"P249",50.8131428571429,50.776,0,0,50.817,50.907,50.817,0,50.797,50.762,50.831
"P250",51.095,0,0,0,0,0,51.1,0,0,0,0
"P251",51.4281666666667,0,0,0,51.376,51.514,51.403,0,51.472,51.376,51.438
"P252",52.024,0,52.017,0,0,0,0,0,0,52.031,0
"P253",52.1598888888889,52.148,52.155,0,52.189,52.148,52.176,52.169,52.169,52.155,52.155
"P254",52.47475,0,52.486,0,52.486,0,0,52.479,0,52.458,0
"P255",53.1875,0,0,0,53.189,0,53.196,0,0,0,0
"P256",53.353,0,0,53.348,0,0,0,0,0,0,0
"P257",53.55,0,0,0,0,0,0,53.555,0,0,0
"P258",54.8142,0,54.872,54.893,54.761,0,0,54.775,0,54.775,0
"P259",55.8936,55.899,55.913,55.837,55.892,55.913,55.906,55.934,55.885,55.864,55.913
"P260",56.4415,0,56.451,56.437,56.451,56.451,56.43,56.444,0,56.437,56.451
"P261",57.3446,0,57.34,57.347,0,0,57.327,57.395,0,57.319,0
"P262",57.725,0,0,0,0,0,0,0,57.72,0,0
